date,new_opportunities,total_opportunities,active_opportunities,internships,hackathons,fresher_jobs,fellowships,open_source
2026-06-26,1839,1839,1838,711,6,1116,2,2
2026-06-27,134,1846,1845,58,7,63,2,2
2026-06-28,125,1853,1852,47,10,62,2,2
2026-06-28,125,1853,1852,47,10,62,2,2
2026-06-28,125,1853,1852,47,10,62,2,2
2026-06-28,124,1854,1853,47,10,61,2,2
2026-06-28,125,1854,1853,47,10,62,2,2
2026-06-29,119,1854,1853,41,10,62,2,2
2026-06-29,119,1854,1853,42,10,61,2,2
2026-06-29,119,1854,1853,42,10,61,2,2
2026-06-29,114,1857,1856,42,5,61,2,2
2026-06-30,112,1859,1858,42,3,61,2,2
2026-06-30,113,1862,1861,42,3,62,2,2
2026-06-30,115,1865,1864,42,5,62,2,2
2026-07-01,117,1883,1879,44,7,60,2,2
2026-07-01,118,1894,1890,44,9,59,2,2
2026-07-01,116,1900,1896,45,6,59,2,2
2026-07-02,121,1905,1899,45,6,64,2,2
2026-07-02,125,1914,1908,44,10,65,2,2
2026-07-02,120,1918,1912,42,9,63,2,2
2026-07-02,112,1918,1912,42,2,62,2,2
2026-07-02,113,1918,1912,42,2,63,2,2
2026-07-03,125,1928,1922,46,7,66,2,2
2026-07-03,126,1938,1932,46,10,64,2,2
2026-07-03,124,1944,1938,45,10,63,2,2
2026-07-04,126,1952,1943,46,10,64,2,2
2026-07-04,122,1952,1943,45,10,61,2,2
2026-07-04,122,1961,1952,44,10,62,2,2
2026-07-05,122,1964,1953,47,5,64,2,2
2026-07-05,125,1964,1953,47,7,65,2,2
2026-07-05,121,1965,1954,45,6,64,2,2
2026-07-06,122,1968,1953,43,7,66,2,2
2026-07-06,117,1972,1957,42,6,63,2,2
2026-07-06,116,1977,1962,40,6,64,2,2
2026-07-07,117,1979,1959,42,6,63,2,2
2026-07-07,116,1982,1962,42,3,65,2,2
2026-07-07,123,1990,1970,42,9,66,2,2
2026-07-08,124,1994,1968,41,10,67,2,2
2026-07-08,123,1996,1970,41,10,66,2,2
2026-07-08,128,2008,1982,43,10,69,2,2
2026-07-09,132,2016,1987,46,10,70,2,2
2026-07-09,133,2022,1993,46,9,72,2,2
2026-07-09,132,2027,1998,44,9,73,2,2
2026-07-10,133,2034,2003,43,10,74,2,2
2026-07-10,134,2036,2005,43,10,75,2,2
2026-07-10,131,2044,2013,43,9,73,2,2
2026-07-11,136,2051,2013,44,6,80,2,2
2026-07-11,132,2055,2017,42,9,75,2,2
2026-07-11,134,2058,2020,43,9,76,2,2
2026-07-12,132,2061,2020,42,8,76,2,2
2026-07-12,131,2063,2022,44,6,75,2,2
2026-07-12,129,2067,2026,41,7,75,2,2
2026-07-13,128,2068,2026,39,8,75,2,2
2026-07-13,130,2073,2031,40,8,76,2,2
2026-07-13,131,2077,2035,40,10,75,2,2
2026-07-14,133,2084,2038,41,10,76,2,2
